Clave, Descripción,EXISTENCIAS GENERALES
ADAPH1,"ADAPTADOR HEMBRA CPVC 1""",0
ADAPH2,"ADAPTADOR HEMBRA CPVC 1/2""",57
ADAPH3,"ADAPTADOR HEMBRA CPVC 3/4""",60
ADAPM1,"ADAPTADOR MACHO CPVC 1""",3
ADAPM2,"ADAPTADOR MACHO CPVC 1/2""",19
ADAPM3,"ADAPTADOR MACHO CPVC 3/4""",68
ARCO,ARCO P/SEGUETA,49
BARR596,BARRA,0
BARR355,BARROTE (MAS IVA),204
BBH,BIG BAG CEMENTO HOLCIM,204
AREN288,BOTE ARENA (MAS IVA),0
GRAV300,BOTE GRAVA (MAS IVA),0
GRAV802,BOTE GRAVILLA (MAS IVA),0
TEPE312,BOTE TEPETATE (MAS IVA),0
TEZT326,BOTE TEZONTLE (MAS IVA),0
CAL007 / CALHIDRA,BULTO CAL EL TIGRE,0
CAL006,BULTO CAL PLUS AZUL,1627
CEMB637,BULTO CEMENTO BLANCO CEMEX 25 KG,1627
CEMCB50,BULTO CEMENTO BLANCO CEMEX 50 KG,23
CEMH25K,BULTO CEMENTO HOLCIM APASCO 25 KG,23
CEM002,BULTO CEMENTO HOLCIM APASCO 50 KG,0
MOC25KG,BULTO CEMENTO MOCTEZUMA 25 KG,2322
CEMM509,BULTO CEMENTO MOCTEZUMA 50 KG,2322
CEM806,BULTO CEMENTO PLUS AZUL 50 KG,584
CEMT25K,BULTO CEMENTO TOLTECA 25 KG,584
CEM614,BULTO CEMENTO TOLTECA 50 KG,0
CEMTRI,BULTO CEMENTO TRIMONSA 50 KG,0
MAR017,BULTO DE MARMOLINA,23
ESTEXT,BULTO ESTUCO EXTERBLOCK 40 KG,23
ESTC0100,BULTO ESTUCO TIZOC 20KG,0
ESTUN25,BULTO ESTUCO UNIBLOCK 25 KG,0
ESTU609,BULTO ESTUCO UNIBLOCK 40 KG,848
TOMH497,BULTO MORTERO HOLCIM APASCO 50 KG,848
MM25KG,BULTO MORTERO MOCTEZUMA 25 KG,1854
TONM565,BULTO MORTERO MOCTEZUMA 50 KG,1867
TOM809,BULTO MORTERO PLUS AZUL 50 KG,989
MORT618,BULTO MORTERO TOLTECA 50 KG,976
MORTRI,BULTO MORTERO TRIMONSA 50 KG,0
MULITP,BULTO MULTIPLAST CEMEX 40 KG,7
PAS1000,BULTO PEGA CERAMICA ADE1000 20KG,107
PEAZ1000,BULTO PEGA-AZULEJO ADE1000 20 KG,1312
MARMOL1000,BULTO PEGA-MARMOL ADE100 20KG,1342
PISO1000,BULTO PEGA-PISO ADE1000 20 KG,1075
PEGADHETC,BULTO PEGA-PISO ADHETEC 20 KG,1055
PEGADHEMIX,BULTO PEGA-PISO VERDE ADHEMIX 20 KG,110
PSP639,BULTO PISO SOBRE PISO 20KG,324
YESMAXT,BULTO YESO MAXIMO 40 KG,1380
YESMT,BULTO YESO SUPREMO MORELOS (34.5 KG),1742
TYSP,BULTO YESO SUPREMO PUEBLA 40 KG,1813
TONY499,BULTO YESO UNIBASICO 40 KG,1134
CB12,CABLE BLANCO CAL. 12 100 MTS,7
CN12,CABLE NEGRO CAL. 12 100 MTS,0
